id,cause_of_death,missing,dead,affected_nationality
97377,Murdered,0.0,1.0,Sudan
97778,Drowning,151.0,0.0,Sub-Saharan Africa
98177,Drowning,0.0,1.0,Mexico
100178,Disease,0.0,1.0,Cuban
100179,Drowning,0.0,1.0,Guatemala
100578,Vehicle accident,0.0,0.6666666666666666,Guatemala
100578,Vehicle accident,0.0,0.6666666666666666,Honduras
100578,Vehicle accident,0.0,0.6666666666666666,El Salvador
101779,Drowning,0.0,1.0,Honduras
101780,Murdered,0.0,1.0,Honduras
102577,Hyperthermia,0.0,1.0,Mexico
102579,Hyperthermia,0.0,1.0,Mexico
102584,Hyperthermia,0.0,1.0,Guatemala
102588,Murdered,0.0,2.0,Honduras
102977,Blunt force head trauma,0.0,1.0,Mexico
102979,Hyperthermia,0.0,1.0,Mexico
102980,Hyperthermia,0.0,1.0,Mexico
102983,Hyperthermia,0.0,1.0,Mexico
102988,Hit by vehicle,0.0,1.0,Honduras
103777,Vehicle accident,0.0,3.0,Honduras
103778,Drowning,0.0,7.0,Africa
103779,Drowning,0.0,1.0,Mexico
105377,Vehicle accident,0.0,0.75,Ethiopia
